Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,9000%,9500%
GET,/healthcheck,1,1,4061.999999999898,4061.999999999898,4061.999999999898,4061.999999999898,0.0,0.017552417904882073,0.017552417904882073,4100,4100
GET,/square/1,2,2,4077.99999999952,4070.499999999811,4063.000000000102,4077.99999999952,0.0,0.035104835809764146,0.035104835809764146,4100,4100
GET,/square/10,1,1,4077.99999999952,4077.99999999952,4077.99999999952,4077.99999999952,0.0,0.017552417904882073,0.017552417904882073,4100,4100
GET,/square/2,2,2,4078.0000000004293,4078.0000000004293,4078.0000000004293,4078.0000000004293,0.0,0.035104835809764146,0.035104835809764146,4100,4100
GET,/square/3,2,2,4061.999999999898,4061.999999999898,4061.999999999898,4061.999999999898,0.0,0.035104835809764146,0.035104835809764146,4100,4100
GET,/square/4,1,1,4078.9999999997235,4078.9999999997235,4078.9999999997235,4078.9999999997235,0.0,0.017552417904882073,0.017552417904882073,4100,4100
GET,/square/5,1,1,4061.999999999898,4061.999999999898,4061.999999999898,4061.999999999898,0.0,0.017552417904882073,0.017552417904882073,4100,4100
GET,/square/6,1,1,4063.000000000102,4063.000000000102,4063.000000000102,4063.000000000102,0.0,0.017552417904882073,0.017552417904882073,4100,4100
GET,/square/7,1,1,4061.999999999898,4061.999999999898,4061.999999999898,4061.999999999898,0.0,0.017552417904882073,0.017552417904882073,4100,4100
GET,/square/8,1,1,4078.0000000004293,4078.0000000004293,4078.0000000004293,4078.0000000004293,0.0,0.017552417904882073,0.017552417904882073,4100,4100
GET,/square/9,1,1,4063.000000000102,4063.000000000102,4063.000000000102,4063.000000000102,0.0,0.017552417904882073,0.017552417904882073,4100,4100
,Aggregated,14,14,4078.9999999997235,4069.1428571428464,4061.999999999898,4078.9999999997235,0.0,0.24573385066834902,0.24573385066834902,4100,4100
