Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,9000%,9500%
GET,/healthcheck,952,0,0,5.907563025244262,0,16.00000000325963,16.0,15.869784900044351,0.0,16,16
GET,/square/1,897,0,0,6.101449275368354,0,16.00000000325963,13.0,14.952938083340108,0.0,16,16
GET,/square/10,896,0,0,5.821428571372118,0,46.999999998661224,15.0,14.936268141218212,0.0,47,47
GET,/square/2,897,0,0,5.8216276476109075,0,16.00000000325963,13.0,14.952938083340108,0.0,16,16
GET,/square/3,897,0,0,5.85730211822126,0,30.999999995401595,13.0,14.952938083340108,0.0,31,31
GET,/square/4,897,0,0,6.2831661092271744,0,30.999999995401595,14.0,14.952938083340108,0.0,31,31
GET,/square/5,897,0,0,5.587513935391416,0,30.999999995401595,14.0,14.952938083340108,0.0,31,31
GET,/square/6,896,0,0,6.295758928607548,0,31.9999999992433,14.0,14.936268141218212,0.0,32,32
GET,/square/7,896,0,0,5.7935267858104975,0,16.00000000325963,14.0,14.936268141218212,0.0,16,16
GET,/square/8,896,0,0,5.941964285674268,0,31.9999999992433,14.0,14.936268141218212,0.0,32,32
GET,/square/9,896,0,0,6.099330357090237,0,16.00000000325963,14.0,14.936268141218212,0.0,16,16
,Aggregated,9917,0,0,5.9552283956839025,0,46.999999998661224,14.010991227185642,165.31581602283595,0.0,47,47
