Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,9000%,9500%
GET,/healthcheck,791,0,0,7.1946902654807285,0,31.9999999992433,16.0,13.185413851732566,0.0,32,32
GET,/square/1,807,0,0,5.7930607187419305,0,31.9999999992433,13.0,13.452122602210089,0.0,32,32
GET,/square/10,807,0,0,6.380421313503858,0,47.0000000022992,15.0,13.452122602210089,0.0,47,47
GET,/square/2,807,0,0,7.381660470832882,0,47.0000000022992,13.0,13.452122602210089,0.0,47,47
GET,/square/3,807,0,0,6.449814126360152,0,46.999999998661224,13.0,13.452122602210089,0.0,47,47
GET,/square/4,807,0,0,6.654275092953573,0,45.9999999984575,14.0,13.452122602210089,0.0,46,46
GET,/square/5,807,0,0,6.881040892220213,0,47.0000000022992,14.0,13.452122602210089,0.0,47,47
GET,/square/6,807,0,0,6.527881040905753,0,46.999999998661224,14.0,13.452122602210089,0.0,47,47
GET,/square/7,807,0,0,6.568773234200094,0,47.0000000022992,14.0,13.452122602210089,0.0,47,47
GET,/square/8,807,0,0,6.722428748468184,0,47.0000000022992,14.0,13.452122602210089,0.0,47,47
GET,/square/9,807,0,0,7.068153655493622,0,46.999999998661224,14.0,13.452122602210089,0.0,47,47
,Aggregated,8861,0,0,6.69202121656644,0,47.0000000022992,13.9963886694504,147.70663987383347,0.0,47,47
