Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,9000%,9500%
GET,/healthcheck,932,1,0,5.7167381973951015,0,16.00000000325963,15.982832618025752,15.535573740967939,0.016669070537519246,16,16
GET,/square/1,909,1,0,5.455445544509247,0,16.00000000325963,12.985698569856986,15.152185118604995,0.016669070537519246,16,16
GET,/square/10,909,0,0,6.168316831655121,0,31.000000002677552,15.0,15.152185118604995,0.0,31,31
GET,/square/2,909,1,0,6.249724972525809,0,30.999999995401595,12.985698569856986,15.152185118604995,0.016669070537519246,31,31
GET,/square/3,909,1,0,5.650165016564149,0,16.00000000325963,12.985698569856986,15.152185118604995,0.016669070537519246,16,16
GET,/square/4,909,1,0,5.940594059375524,0,16.00000000325963,13.984598459845985,15.152185118604995,0.016669070537519246,16,16
GET,/square/5,909,1,0,5.99449945001761,0,16.00000000325963,13.984598459845985,15.152185118604995,0.016669070537519246,16,16
GET,/square/6,909,1,0,5.726072607278656,0,31.000000002677552,13.984598459845985,15.152185118604995,0.016669070537519246,31,31
GET,/square/7,909,1,0,6.115511551172341,0,16.00000000325963,13.984598459845985,15.152185118604995,0.016669070537519246,16,16
GET,/square/8,909,1,0,5.836083608305126,0,31.000000002677552,13.984598459845985,15.152185118604995,0.016669070537519246,31,31
GET,/square/9,909,1,0,5.968096809676165,0,31.9999999992433,13.984598459845985,15.152185118604995,0.016669070537519246,32,32
,Aggregated,10022,10,0,5.892436639393706,0,31.9999999992433,13.990720415086809,167.0574249270179,0.16669070537519248,32,32
