Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,9000%,9500%
GET,/healthcheck,961,2,0,5.863683662868459,0,16.00000000325963,15.966701352757545,16.0207776297578,0.03334188892769573,16,16
GET,/square/1,920,1,0,5.263043478186338,0,31.9999999992433,12.985869565217392,15.337268906740036,0.016670944463847866,32,32
GET,/square/10,920,1,0,6.131521739157704,0,31.000000002677552,14.983695652173912,15.337268906740036,0.016670944463847866,31,31
GET,/square/2,920,1,0,6.441304347865061,0,16.00000000325963,12.985869565217392,15.337268906740036,0.016670944463847866,16,16
GET,/square/3,920,1,0,5.904347826016538,0,16.00000000325963,12.985869565217392,15.337268906740036,0.016670944463847866,16,16
GET,/square/4,920,1,0,5.36304347833325,0,16.00000000325963,13.984782608695653,15.337268906740036,0.016670944463847866,16,16
GET,/square/5,920,1,0,6.155434782609202,0,16.00000000325963,13.984782608695653,15.337268906740036,0.016670944463847866,16,16
GET,/square/6,920,1,0,5.457608695676596,0,30.999999995401595,13.984782608695653,15.337268906740036,0.016670944463847866,31,31
GET,/square/7,920,1,0,5.78913043484689,0,31.000000002677552,13.984782608695653,15.337268906740036,0.016670944463847866,31,31
GET,/square/8,920,1,0,6.055434782549286,0,47.00000000593718,13.984782608695653,15.337268906740036,0.016670944463847866,47,47
GET,/square/9,920,1,0,5.428260869540162,0,46.999999998661224,13.984782608695653,15.337268906740036,0.016670944463847866,47,47
,Aggregated,10161,12,0,5.805038874128051,0,47.00000000593718,13.991339435094972,169.39346669715815,0.20005133356617438,47,47
